ID,Seed,Density,Presoak,Blackout Time,Germination Time,Harvest Time
,Amaranth,4,No,4,4,10
,Arugula,4,No,3,5,5
,Basic Salad Mix,4,no,4,3,10
,Basil Genovese,4,no,4,5,12
,Beet - Detroit Dark Red,4,yes,4,3,12
,Borage,4,No,4,4,10
,Broccoli,4,no,4,3,10
,Cabbage - Red Acre,4,n,4,3,12
,Cilantro,4,No,7,7,21
,Corn Yellow Popcorn (organic),32,yes,7,3,7
,Kale- Red Russian,4,no,4,3,10
,Kohlrabi Purple Vienna,4,no,4,3,10
,Leeks,4,No,4,3,12
,Mustard - Southern Giant Curled,4,no,4,3,10
,Radish - China Rose,,no,4,3,10
,Radish Daikon (organic),,no,4,3,10
,Rambo Radish (organic),,no,4,3,10
,Pea - Dun,,Yes,4,3,10
,Pea - Green (organic),32,Yes,4,3,10
,Speckled Pea (organic),32,Yes,4,3,10
,Spicy Salad Mix,4,no,4,3,10
,Sunflower black oil (organic),16,Yes,4,3,10
,Swiss Chard - Ruby Red,8,no,4,3,10
,WheatGrass,32,Yes,5,3,10
